var_code,year,presence_count
VAR_FLX_XX_LB,1871,62
VAR_FML_XI_A,1891,2460
VAR_FML_XX_A,1851,807
VAR_FML_XX_A,1861,1020
VAR_FML_XX_A,1891,2460
VAR_FOREIGN_BORN_F,1921,4472
VAR_FOREIGN_BORN_M,1921,4666
VAR_FOWL_CX_N,1891,2465
VAR_FOWL_DX_N,1891,2282
VAR_FOWL_GX_N,1891,2289
VAR_FOWL_OTH_N,1891,1821
VAR_FOWL_TX_N,1891,2077
VAR_FRENCH,1911,2580
VAR_FRIENDS,1911,245
VAR_FRMLU_ARA_A,1871,71
VAR_FRMLU_CLT_A,1851,807
VAR_FRMLU_CLT_A,1861,1019
VAR_FRMLU_CRP_A,1851,805
VAR_FRMLU_CRP_A,1861,1019
VAR_FRMLU_CRP_A,1891,2450
VAR_FRMLU_GO_A,1851,681
VAR_FRMLU_GO_A,1891,2349
VAR_FRMLU_GX_A,1861,880
VAR_FRMLU_PST_A,1851,802
VAR_FRMLU_PST_A,1861,998
VAR_FRMLU_PST_A,1891,2448
VAR_FRMLU_WOD_A,1851,808
VAR_FRMLU_WOD_A,1861,1015
VAR_FRMLU_WOD_A,1891,2402
VAR_FRMSZ_0to10_N,1851,676
VAR_FRMSZ_0to10_N,1861,778
VAR_FRMSZ_0to10_N,1891,2394
VAR_FRMSZ_100to200_N,1851,779
VAR_FRMSZ_100to200_N,1861,987
VAR_FRMSZ_101to200_N,1891,2352
VAR_FRMSZ_10to20_N,1851,601
VAR_FRMSZ_10to20_N,1861,755
VAR_FRMSZ_11to50_N,1891,2356
VAR_FRMSZ_20to50_N,1851,773
VAR_FRMSZ_20to50_N,1861,933
VAR_FRMSZ_50to100_N,1851,791
VAR_FRMSZ_50to100_N,1861,992
VAR_FRMSZ_51to100_N,1891,2360
VAR_FRMSZ_ov200_N,1851,689
VAR_FRMSZ_ov200_N,1861,906
VAR_FRMSZ_ov201_N,1891,2234
VAR_FRMTN_EX_N,1891,894
VAR_FRMTN_OX_A,1871,71
VAR_FRMTN_OX_N,1891,2458
VAR_FRMTN_RX_A,1871,66
VAR_FRMTN_SX_A,1871,32
VAR_FRMTN_TX_N,1891,2301
VAR_FRMTN_VX_A,1871,45
VAR_FRMTN_XA_A,1861,764
VAR_FRM_Q1_N,1871,70
VAR_FRM_Q2_N,1871,69
VAR_FRM_Q3_N,1871,64
VAR_FRM_XX_N,1851,807
VAR_FRM_XX_N,1861,1017
VAR_FRM_XX_N,1891,2460
VAR_FRM_XX_V,1861,1017
VAR_FRT_LK_N,1871,38
VAR_FRT_LP_BL,1871,28
VAR_FRT_LX_A,1871,42
VAR_FRT_SX_A,1871,61
VAR_FRU_AO_V,1871,60
VAR_FRU_PC_G,1851,192
VAR_FRU_PC_G,1861,285
VAR_FRU_PX_V,1861,814
VAR_F_DIVORCED,1911,272
VAR_F_LEGAL_SEP,1911,497
VAR_F_MARRIED,1911,3146
VAR_F_NOT_GIVEN,1911,922
VAR_F_SINGLE,1911,3138
VAR_F_WIDOWED,1911,2972
VAR_GERMAN,1911,1801
VAR_GRA_TX_B,1871,70
VAR_GRA_XS_B,1851,529
VAR_GRA_XS_B,1861,678
VAR_GRA_XS_B,1881,1646
VAR_GRA_XS_B,1891,1681
VAR_GREEK,1911,184
VAR_GREEK_CHURCH,1911,305
VAR_GREEK_CHURCH,1921,1387
VAR_GRIST_EX_N,1851,658
VAR_GRIST_NR_N,1851,595
VAR_GRIST_PD_BL,1851,305
VAR_GRIST_PD_N,1851,292
VAR_GRIST_PL_N,1851,495
VAR_GRIST_PL_V,1851,509
VAR_GRIST_PW_BL,1851,296
VAR_GRIST_PW_N,1851,296
VAR_GRIST_PY_BL,1851,587
VAR_GRIST_PY_N,1851,588
VAR_GRIST_SX_N,1851,502
VAR_GRIST_WX_N,1851,732
VAR_GRIST_XC_N,1851,661
VAR_GRIST_XC_V,1851,667
VAR_GRIST_XX_N,1851,745
VAR_GRIST_XX_N,1871,56
VAR_HAY_XX_A,1881,2089
VAR_HAY_XX_A,1891,2333
VAR_HAY_XX_T,1851,792
VAR_HAY_XX_T,1861,999
VAR_HAY_XX_T,1871,71
VAR_HAY_XX_T,1881,2089
VAR_HAY_XX_T,1891,2439
VAR_HINDU,1911,42
VAR_HOP_XX_LB,1851,305
VAR_HOP_XX_LB,1861,479
VAR_HOUSE_01R_N,1891,1605
VAR_HOUSE_01S_N,1891,2463
VAR_HOUSE_02R_N,1891,2378
VAR_HOUSE_02S_N,1891,2332
VAR_HOUSE_03R_N,1891,2423
VAR_HOUSE_03S_N,1891,1063
VAR_HOUSE_04R_N,1891,2448
VAR_HOUSE_05R_N,1891,2431
VAR_HOUSE_06to10R_N,1891,2441
VAR_HOUSE_11to15R_N,1891,2155
VAR_HOUSE_BX_N,1891,1331
VAR_HOUSE_SX_N,1891,1123
VAR_HOUSE_TS_N,1871,427
VAR_HOUSE_TS_N,1881,485
VAR_HOUSE_TV_N,1871,36
VAR_HOUSE_TV_N,1881,72
VAR_HOUSE_TX_N,1891,890
VAR_HOUSE_WX_N,1891,2467
VAR_HOUSE_XC_N,1871,1406
VAR_HOUSE_XC_N,1881,1713
VAR_HOUSE_XC_N,1891,1840
VAR_HOUSE_XI_N,1871,1701
VAR_HOUSE_XI_N,1881,2135
VAR_HOUSE_XO_N,1871,1702
VAR_HOUSE_XO_N,1881,2135
VAR_HOUSE_XO_N,1891,2473
VAR_HOUSE_XU_N,1871,1559
VAR_HOUSE_XU_N,1881,2004
VAR_HOUSE_XU_N,1891,2242
VAR_HOUSE_XX_N,1891,2470
VAR_HOUSE_XX_N,1901,3182
VAR_HOUSE_ov04S_N,1891,307
VAR_HOUSE_ov16R_N,1891,1514
VAR_HRS_0to03_N,1861,974
VAR_HRS_0to03_N,1891,2412
VAR_HRS_XX_N,1851,801
VAR_HRS_XX_N,1871,71
VAR_HRS_ov03_N,1861,1065
VAR_HRS_ov03_N,1891,2463
VAR_HRS_ov03_V,1861,964
VAR_INDIAN,1911,549
VAR_INDIAN,1921,887
VAR_IRON_EX_N,1851,243
VAR_IRON_NR_N,1851,164
VAR_IRON_PX_V,1851,279
VAR_IRON_XC_N,1851,326
VAR_IRON_XR_N,1851,310
VAR_IRON_XX_N,1851,353
VAR_ITALIAN,1911,639
VAR_JAPANESE,1911,66
VAR_JEWISH,1911,552
VAR_JEWS,1911,526
VAR_JEWS,1921,1063
VAR_LEG_CS_B,1871,55
VAR_LEG_VX_B,1871,11
VAR_LUTHERANS,1911,1010
VAR_LUTHERANS,1921,2401
VAR_MACH_FI_V,1861,1007
VAR_MACH_FX_N,1871,67
VAR_MACH_HB_N,1871,53
VAR_MACH_HE_N,1871,30
VAR_MACH_HM_N,1871,68
VAR_MACH_MD_N,1871,64
VAR_MACH_OTH_N,1871,48
VAR_MACH_PX_N,1871,35
VAR_MACH_SM_N,1871,46
VAR_MACH_ST_N,1871,13
VAR_MACH_SX_N,1871,51
VAR_MACH_TX_N,1871,71
VAR_MENNONITES,1911,224
VAR_MENNONITES,1921,559
VAR_METHODISTS,1911,1976
VAR_METHODISTS,1921,3575
VAR_MINE_CU_T,1861,3
VAR_MINE_CU_V,1861,4
VAR_MORMONS,1911,288
VAR_MORMONS,1921,742
VAR_MPL_PS_LB,1851,728
VAR_MPL_PS_LB,1861,897
VAR_M_DIVORCED,1911,319
VAR_M_LEGAL_SEP,1911,500
VAR_M_MARRIED,1911,3171
VAR_M_NOT_GIVEN,1911,1177
VAR_M_SINGLE,1911,3173
VAR_M_WIDOWED,1911,2954
VAR_NEGRO,1911,426
VAR_NEGRO,1921,555
VAR_OAT_XX_A,1851,796
VAR_OAT_XX_A,1861,1008
VAR_OAT_XX_A,1891,2400
VAR_OAT_XX_B,1851,795
VAR_OAT_XX_B,1861,1009
VAR_OAT_XX_B,1871,71
VAR_OAT_XX_B,1881,2061
VAR_OAT_XX_B,1891,2410
VAR_ORIG_AT_HU_N,1851,8
VAR_ORIG_BI_N,1861,246
VAR_ORIG_BP_N,1871,71
VAR_ORIG_CH_N,1851,48
VAR_ORIG_CH_N,1861,176
VAR_ORIG_DE_NL_N,1851,252
VAR_ORIG_DE_NL_N,1861,507
VAR_ORIG_EI_N,1851,55
VAR_ORIG_EI_N,1861,129
VAR_ORIG_EN_N,1871,70
VAR_ORIG_ES_PT_N,1851,40
VAR_ORIG_ES_PT_N,1861,100
