person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:104465195,John Hamilton,Q6237444,http://www.biographi.ca/en/bio/hamilton_john_1827_88_11E.html,birth,1827,Q2573770,PLACE_ON139008,Hawkesbury,wd,high
viaf:104465195,John Hamilton,Q6237444,http://www.biographi.ca/en/bio/hamilton_john_1827_88_11E.html,death,1888,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104465225,J. P. (James Pitt) Mabee,Q19832434,http://www.biographi.ca/en/bio/mabee_james_pitt_14E.html,birth,1859,Q3398395,PLACE_ON131012_1911,Port Rowan,wd,high
viaf:104465225,J. P. (James Pitt) Mabee,Q19832434,http://www.biographi.ca/en/bio/mabee_james_pitt_14E.html,death,1912,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104465327,L. J. (Louis Joseph) d' Herbomez,Q3260666,http://www.biographi.ca/en/bio/herbomez_louis_joseph_d_11E.html,death,1890,Q876122,PLACE_BC213004,New Westminster,wd,high
viaf:104466177,Ferdinand Gagnon,Q3068569,http://www.biographi.ca/en/bio/gagnon_ferdinand_11E.html,birth,1849,Q141873,PLACE_QC091012,Saint-Hyacinthe,wd,high
viaf:104466407,M.-Edouard (Michel-Edouard) Méthot,Q3308812,http://www.biographi.ca/en/bio/methot_michel_edouard_12E.html,birth,1826,Q3464232,PLACE_QC068007,Sainte-Croix,wd,high
viaf:104466448,William McLennan,Q98065984,http://www.biographi.ca/en/bio/mclennan_william_13E.html,birth,1856,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104466827,Thomas McGreevy,Q3525404,http://www.biographi.ca/en/bio/mcgreevy_thomas_12E.html,birth,1825,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104466827,Thomas McGreevy,Q3525404,http://www.biographi.ca/en/bio/mcgreevy_thomas_12E.html,death,1897,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104466862,Hiram Blanchard,Q3136197,http://www.biographi.ca/en/bio/blanchard_hiram_10E.html,death,1874,Q3246744,PLACE_NS011043,Halifax,wd,high
viaf:104466972,Daniel Hunter McMillan Canadian politician (1846-1933),Q1161186,http://www.biographi.ca/en/bio/mcmillan_daniel_hunter_16E.html,birth,1846,Q386338,PLACE_ON133014,Whitby,wd,high
viaf:104466972,Daniel Hunter McMillan Canadian politician (1846-1933),Q1161186,http://www.biographi.ca/en/bio/mcmillan_daniel_hunter_16E.html,death,1933,Q2135,PLACE_MB160013,Winnipeg,wd,high
viaf:104467135,Sir George Alexander Drummond,Q3101383,http://www.biographi.ca/en/bio/drummond_george_alexander_13E.html,death,1910,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104467323,Edouard-André Barnard,Q8078087,http://www.biographi.ca/en/bio/barnard_edouard_andre_12E.html,birth,1835,Q44012,PLACE_QC093015,Trois-Rivières,wd,high
viaf:104467323,Edouard-André Barnard,Q8078087,http://www.biographi.ca/en/bio/barnard_edouard_andre_12E.html,death,1898,Q142014,PLACE_QC098007,Varennes,wd,high
viaf:104467323,Edouard-André Barnard,Q8078087,http://www.biographi.ca/en/bio/barnard_edouard_andre_12E.html,death,1898,Q3201973,PLACE_QC075002_1921,L'Ange-Gardien,wd,high
viaf:104468372,Michel-Thomas Labrecque,Q3308810,http://www.biographi.ca/en/bio/labrecque_michel_thomas_16E.html,birth,,Q3461785,PLACE_QC053021,Saint-Anselme,wd,high
viaf:104468522,Ernest Pacaud,Q3057117,http://www.biographi.ca/en/bio/pacaud_ernest_13E.html,birth,1850,Q44012,PLACE_QC093015,Trois-Rivières,wd,high
viaf:104468522,Ernest Pacaud,Q3057117,http://www.biographi.ca/en/bio/pacaud_ernest_13E.html,death,1904,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104468630,Peter Mitchell,Q2090332,http://www.biographi.ca/en/bio/mitchell_peter_12E.html,death,1899,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469562,Andrew George Blair,Q2846607,http://www.biographi.ca/en/bio/blair_andrew_george_13E.html,birth,1844,Q2138,PLACE_NB036016,Fredericton,wd,high
viaf:104469562,Andrew George Blair,Q2846607,http://www.biographi.ca/en/bio/blair_andrew_george_13E.html,death,1907,Q2138,PLACE_NB036016,Fredericton,wd,high
viaf:104469589,Boucher de la Bruère,Q7192092,http://www.biographi.ca/en/bio/boucher_de_la_bruere_pierre_14E.html,birth,1837,Q141873,PLACE_QC091012,Saint-Hyacinthe,wd,high
viaf:104469589,Boucher de la Bruère,Q7192092,http://www.biographi.ca/en/bio/boucher_de_la_bruere_pierre_14E.html,death,1917,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104469660,Stanley Clark Bagg,Q3496809,http://www.biographi.ca/en/bio/bagg_stanley_clark_10E.html,birth,1820,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469710,Urgel-Eugène Archambeault,Q16216363,http://www.biographi.ca/en/bio/archambeault_urgel_eugene_13E.html,birth,1834,Q141754,PLACE_QC065011,L'Assomption,wd,high
viaf:104469710,Urgel-Eugène Archambeault,Q16216363,http://www.biographi.ca/en/bio/archambeault_urgel_eugene_13E.html,death,1904,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469768,J. A. (Joseph Aldéric) Ouimet,Q3184148,http://www.biographi.ca/en/bio/ouimet_joseph_aldric_14E.html,death,1916,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469775,Sydney Fisher,Q3506807,http://www.biographi.ca/en/bio/fisher_sydney_arthur_15E.html,birth,1850,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469775,Sydney Fisher,Q3506807,http://www.biographi.ca/en/bio/fisher_sydney_arthur_15E.html,death,1921,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:104469969,J.U. (Joseph Ubald) Baudry,Q6280701,http://www.biographi.ca/en/bio/beaudry_joseph_ubalde_10E.html,birth,1816,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104469969,J.U. (Joseph Ubald) Baudry,Q6280701,http://www.biographi.ca/en/bio/beaudry_joseph_ubalde_10E.html,death,1876,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104470311,Charles Thibault,Q2960299,http://www.biographi.ca/en/bio/thibault_charles_13E.html,death,1905,Q142521,PLACE_QC045011_1901,Sutton,wd,high
viaf:104470923,Alexander Forrester,Q4718879,http://www.biographi.ca/en/bio/forrester_alexander_9E.html,death,1869,Q283064,PLACE_NS007026,Truro,wd,high
viaf:104470947,P. (Pierre) Bachand,Q3383833,http://www.biographi.ca/en/bio/bachand_pierre_10E.html,birth,1835,Q2514459,PLACE_QC098013_1921,Verchères,wd,high
viaf:104470947,P. (Pierre) Bachand,Q3383833,http://www.biographi.ca/en/bio/bachand_pierre_10E.html,death,1878,Q141873,PLACE_QC091012,Saint-Hyacinthe,wd,high
viaf:104471042,William Warren Lynch,Q8020039,http://www.biographi.ca/en/bio/lynch_william_warren_14E.html,birth,1845,Q141987,PLACE_QC072013,Bedford,wd,high
viaf:104471354,Richard Chapman Weldon Canadian politician (1849-1925),Q3430631,http://www.biographi.ca/en/bio/weldon_richard_chapman_15E.html,birth,1849,Q984084,PLACE_NB027016,Sussex,wd,high
viaf:104471354,Richard Chapman Weldon Canadian politician (1849-1925),Q3430631,http://www.biographi.ca/en/bio/weldon_richard_chapman_15E.html,death,1925,Q497373,PLACE_NS011044,Dartmouth,wd,high
viaf:104471377,Michel-Delphis Brochu,Q50718078,http://www.biographi.ca/en/bio/brochu_michel_delphis_16E.html,birth,1853,Q3462734,PLACE_QC042011_1921,Saint-Lazare-de-Bellechasse,wd,high
viaf:104471377,Michel-Delphis Brochu,Q50718078,http://www.biographi.ca/en/bio/brochu_michel_delphis_16E.html,death,1933,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104471455,Charles-Eugène Boucher de Boucherville,Q718349,http://www.biographi.ca/en/bio/boucher_de_boucherville_charles_14E.html,birth,1822,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104471455,Charles-Eugène Boucher de Boucherville,Q718349,http://www.biographi.ca/en/bio/boucher_de_boucherville_charles_14E.html,death,1915,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104471660,William Bullock Ives,Q3568464,http://www.biographi.ca/en/bio/ives_william_bullock_12E.html,death,1899,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
