:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON041008_1851,ON104002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON041001_1851,ON104004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON041007_1851,ON104009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON040008_1851,ON102005_1861,CONTAINS,0.0376,0.0376,1.0,1851,1861,P134_continued
ON040004_1851,ON102004_1861,CONTAINS,0.9195,0.9195,1.0,1851,1861,P134_continued
ON040001_1851,ON102007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON040003_1851,ON102008_1861,CONTAINS,0.9378,0.9378,1.0,1851,1861,P134_continued
ON040003_1851,ON102003_1861,CONTAINS,0.0622,0.0622,1.0,1851,1861,P134_continued
ON040002_1851,ON102009_1861,SAME_AS,0.9839,0.9839,1.0,1851,1861,P134_continued
ON040006_1851,ON102011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON040005_1851,ON102013_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON002006_1851,ON065006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035011_1851,ON098005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035017_1851,ON098008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035012_1851,ON098018_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON036003_1851,ON099003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON036004_1851,ON099005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON037006_1851,ON100002_1861,CONTAINS,0.3422,0.3422,1.0,1851,1861,P134_continued
ON037006_1851,ON100016_1861,CONTAINS,0.6578,0.6578,1.0,1851,1861,P134_continued
ON037004_1851,ON100006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON037003_1851,ON100007_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON037005_1851,ON100008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON037001_1851,ON100014_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
