:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
NB035002,NB035004,CENSUS_1921,30140.23,P122_borders_with
NB035002,NB035003,CENSUS_1921,12233.98,P122_borders_with
NB035002,NB035006,CENSUS_1921,4616.5,P122_borders_with
NB035003,NB035005,CENSUS_1921,27499.04,P122_borders_with
NB035003,NB035009,CENSUS_1921,5999.91,P122_borders_with
NB035003,NB035012,CENSUS_1921,5990.62,P122_borders_with
NB035003,NB035006,CENSUS_1921,27176.04,P122_borders_with
NB035004,NB035010,CENSUS_1921,5999.94,P122_borders_with
NB035004,NB035007,CENSUS_1921,34272.91,P122_borders_with
NB035004,NB035006,CENSUS_1921,19855.52,P122_borders_with
NB035006,NB035011,CENSUS_1921,5999.86,P122_borders_with
NB035007,NS008008,CENSUS_1921,20966.25,P122_borders_with
NB035007,NS008024,CENSUS_1921,14057.3,P122_borders_with
NB035007,NB035013,CENSUS_1921,5990.59,P122_borders_with
NB036001,NB036011,CENSUS_1921,29221.89,P122_borders_with
NB036001,NB036013,CENSUS_1921,18343.15,P122_borders_with
NB036001,NB036003,CENSUS_1921,41383.51,P122_borders_with
NB036002,NB036009,CENSUS_1921,39568.77,P122_borders_with
NB036002,NB036006,CENSUS_1921,25763.86,P122_borders_with
NB036002,NB036004,CENSUS_1921,8793.59,P122_borders_with
NB036002,NB036013,CENSUS_1921,17107.44,P122_borders_with
NB036003,NB036005,CENSUS_1921,2113.41,P122_borders_with
NB036003,NB036017,CENSUS_1921,5369.13,P122_borders_with
NB036003,NB036012,CENSUS_1921,18565.99,P122_borders_with
NB036003,NB036014,CENSUS_1921,74516.01,P122_borders_with
NB036004,NB036006,CENSUS_1921,23338.48,P122_borders_with
NB036004,NB036010,CENSUS_1921,28375.91,P122_borders_with
NB036004,NB036011,CENSUS_1921,14675.68,P122_borders_with
NB036004,NB036013,CENSUS_1921,7963.34,P122_borders_with
NB036005,NB036007,CENSUS_1921,13345.84,P122_borders_with
NB036005,NB036010,CENSUS_1921,8630.19,P122_borders_with
NB036005,NB036008,CENSUS_1921,23150.48,P122_borders_with
NB036005,NB036015,CENSUS_1921,16181.71,P122_borders_with
NB036005,NB036016,CENSUS_1921,5257.22,P122_borders_with
NB036006,NB036009,CENSUS_1921,8486.23,P122_borders_with
NB036006,NB036007,CENSUS_1921,12588.11,P122_borders_with
NB036006,NB036010,CENSUS_1921,13491.85,P122_borders_with
NB036007,NB036010,CENSUS_1921,30969.26,P122_borders_with
NB036007,NB036008,CENSUS_1921,31774.35,P122_borders_with
NB036008,NB036016,CENSUS_1921,8342.85,P122_borders_with
NB036010,NB036011,CENSUS_1921,6759.88,P122_borders_with
NB036011,NB036013,CENSUS_1921,20705.08,P122_borders_with
NB036012,NB036015,CENSUS_1921,361.29,P122_borders_with
NB036012,NB036018,CENSUS_1921,5999.92,P122_borders_with
NB036012,NB036017,CENSUS_1921,8562.21,P122_borders_with
NB036012,NB036014,CENSUS_1921,57370.92,P122_borders_with
NS004001,NS009009,CENSUS_1921,2937.2,P122_borders_with
NS004001,NS004014,CENSUS_1921,10354.04,P122_borders_with
NS004001,NS004007,CENSUS_1921,7169.03,P122_borders_with
NS004001,NS004028,CENSUS_1921,2857.77,P122_borders_with
NS004001,NS004008,CENSUS_1921,5317.06,P122_borders_with
NS004002,NS004010,CENSUS_1921,5042.55,P122_borders_with
NS004002,NS004021,CENSUS_1921,7823.49,P122_borders_with
NS004002,NS004024,CENSUS_1921,15370.25,P122_borders_with
NS004002,NS004004,CENSUS_1921,300.93,P122_borders_with
NS004002,NS004011,CENSUS_1921,9608.84,P122_borders_with
NS004003,NS004005,CENSUS_1921,4336.99,P122_borders_with
NS004003,NS004020,CENSUS_1921,6014.52,P122_borders_with
NS004003,NS004031,CENSUS_1921,5999.91,P122_borders_with
NS004003,NS004027,CENSUS_1921,3532.68,P122_borders_with
