year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,ON044043,ON123122,Fort Frances ,Fort Frances t-v,1.0,63.87,3,Algoma,Thunder Bay & Rainy River,ON
1901,1911,QC157019,QC162001,"St. Paul, Town—Ville",Côte St. Paul,1.0,63.94,7,Jacques-Cartier,Jacques-Cartier,QC
1901,1911,ON107004,ON113008,"Peterborough, Town—Ville",Peterborough c } Ashburnham vl,1.0,63.98,6,"Peterborough, West—Ouest",Peterborough W-O,ON
1901,1911,ON084003,ON092016,"Bath, Village",Bath vl,1.0,64.0,6,Lennox,Lennox & Addington,ON
1901,1911,ON070004,ON079016,"Tweed, Village",Tweed t-v,1.0,64.04,5,"Hastings, East—Est",Hastings E,ON
1901,1911,ON057001,ON065005,"Aylmer, Town—Ville",Aylmer t-v,1.0,64.09,8,"Elgin, East—Est",Elgin E,ON
1901,1911,ON110001,ON116002,"Algona, South—Sud",Algona S,1.0,64.09,9,"Renfrew, North—Nord",Renfrew N,ON
1901,1911,NS028026,NS040021,"Sydney, Town—Ville",Sydney c,1.0,64.09,10,Cape Breton,Cape Breton S.,NS
1901,1911,ON049012,ON059011,"Wiarton, Town—Ville",Wiarton t-v,1.0,64.17,8,"Bruce, North—Nord",Bruce N,ON
1901,1911,ON059012,ON067006,"Windsor, City—Cité",Windsor c,1.0,64.17,9,"Essex, North—Nord",Essex N,ON
1901,1911,ON085008,ON093010,"Niagara, Town—Ville",Niagara t-v,1.0,64.17,8,Lincoln & Niagara,Lincoln,ON
1901,1911,ON081003,ON090003,"Burgess, North—Nord",Burgess N,1.0,64.2,10,"Lanark, South—Sud",Lanark S,ON
1901,1911,ON081006,ON090005,"Elmsley, North—Nord",Elmsley N,1.0,64.2,10,"Lanark, South—Sud",Lanark S,ON
1901,1911,ON102003,ON107002,"Norwich, North—Nord",Norwich N,1.0,64.2,10,"Oxford, South—Sud",Oxford S,ON
1901,1911,ON102009,ON107006,"Oxford, West—Ouest",Oxford W-O,1.0,64.2,8,"Oxford, South—Sud",Oxford S,ON
1901,1911,ON125005,ON062008,"Grand Valley, Village",Grand Valley vl,1.0,64.33,6,"Wellington, North—Nord",Dufferin,ON
1901,1911,ON088009,ON096006,"Williams, West—Ouest",Willaims W-O,1.0,64.38,8,"Middlesex, North—Nord",Middlesex N,ON
1901,1911,ON120003,ON129033,"Lindsay, Town—Ville",Lindsay t-v,1.0,64.44,8,"Victoria, South—Sud",Victoria,ON
1901,1911,ON087007,ON065007,"Springfield, Village",Springfield vl,1.0,64.57,6,"Middlesex, East—Est",Elgin E,ON
1901,1911,QC185007,QC190007,St. Dunstan,"St. Dunstan, Lac Beauport",1.0,64.6,14,"Quebec, County—Comté",Québec County,QC
1901,1911,ON099003,ON137009,"Stouffville, Village",Stouffville vl,1.0,64.85,6,"Ontario, West—Ouest",York N,ON
