chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_QC203013_1911,Shawinigan Falls t-v,QC,Q141980,Shawinigan,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC205024,Gracefield vl,QC,Q138554356,Gracefield,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC206011,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 181 km from chain centroid
PLACE_SK207003,Alameda t-v,SK,Q704961,Alameda,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207004,Arcola t-v,SK,Q573201,Arcola,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207005,Carlyle t-v,SK,Q1099089,Carlyle,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207006,Carnduff t-v,SK,Q1099427,Carnduff,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207007,Estevan t-v,SK,Q1018271,Estevan,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207008,Oxbow t-v,SK,Q1916400,Oxbow,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK207009,Weyburn t-v,SK,Q1904554,Weyburn,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK208025,Battleford t-v,SK,Q619597,Battleford,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK208027,North Battleford t-v,SK,Q999654,North Battleford,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK208028,Scott t-v,SK,Q1916940,Scott,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_SK208029,Wilkie t-v,SK,Q1917621,Wilkie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
