tcpuid,year,persistent_place_id
ON180003,1881,PLACE_ON121007
ON079005,1891,PLACE_ON121007
ON076005,1901,PLACE_ON121007
ON085004,1911,PLACE_ON121007
ON121007,1921,PLACE_ON121007
ON018001,1851,PLACE_ON122001
ON081001,1861,PLACE_ON122001
ON004010,1871,PLACE_ON122001
ON179013,1881,PLACE_ON122001
ON081003,1891,PLACE_ON122001
ON078003,1901,PLACE_ON122001
ON087001,1911,PLACE_ON122001
ON018004,1851,PLACE_ON122004
ON081004,1861,PLACE_ON122004
ON004002,1871,PLACE_ON122004
ON179004,1881,PLACE_ON122004
ON081005,1891,PLACE_ON122004
ON078005,1901,PLACE_ON122004
ON087003,1911,PLACE_ON122004
ON122004,1921,PLACE_ON122004
ON018005,1851,PLACE_ON122005
ON081005,1861,PLACE_ON122005
ON018010,1851,PLACE_ON122010
ON081011,1861,PLACE_ON122010
ON004009,1871,PLACE_ON122010
ON179009,1881,PLACE_ON122010
ON081009,1891,PLACE_ON122010
ON078009,1901,PLACE_ON122010
ON087005,1911,PLACE_ON122010
ON122010,1921,PLACE_ON122010
ON018003,1851,PLACE_ON122003
ON081003,1861,PLACE_ON122003
ON018006,1851,PLACE_ON122006
ON081006,1861,PLACE_ON122006
ON004001,1871,PLACE_ON122006
ON179003,1881,PLACE_ON122006
ON082002,1891,PLACE_ON122006
ON079002,1901,PLACE_ON122006
ON088002,1911,PLACE_ON122006
ON122006,1921,PLACE_ON122006
ON018007,1851,PLACE_ON122007
ON081007,1861,PLACE_ON122007
ON004008,1871,PLACE_ON122007
ON179011,1881,PLACE_ON122007
ON082003,1891,PLACE_ON122007
ON079003,1901,PLACE_ON122007
ON088003,1911,PLACE_ON122007
ON122007,1921,PLACE_ON122007
ON018008,1851,PLACE_ON122012
ON081009,1861,PLACE_ON122012
ON004007,1871,PLACE_ON122012
ON179001,1881,PLACE_ON122012
ON019004,1851,PLACE_ON019004
ON082014,1861,PLACE_ON082014
ON082004,1861,PLACE_ON123004_1911
ON019009,1851,PLACE_ON123005
ON082005,1861,PLACE_ON123005
ON080006,1871,PLACE_ON123005
ON112006,1881,PLACE_ON123005
