old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_QC146017,PLACE_QC047032,QC,St. Tite,"St. Tite, T-V",1891,1911;1921,high,bridge_name_match
PLACE_QC146021,PLACE_QC047032,QC,St. Tite,"St. Tite, T-V",1901,1911;1921,high,bridge_name_match
PLACE_ON172003,PLACE_ON137012,ON,"Stratford, Town—Ville","Stratford, C",1861;1871;1881,1921,high,bridge_name_match
PLACE_ON110006_1891,PLACE_ON137012,ON,"Stratford, City—Cité","Stratford, C",1891;1901;1911,1921,high,bridge_name_match
PLACE_ON101003,PLACE_ON137004_1911,ON,Easthope S,Easthope S,1861;1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC154019,PLACE_QC056026,QC,Ste. Anne des Monts,Ste. Anne des Monts,1861;1871;1881;1891;1901,1921,high,bridge_name_match
PLACE_QC159024,PLACE_QC056026,QC,Ste. Anne des Monts,Ste. Anne des Monts,1911,1921,high,bridge_name_match
PLACE_QC162007,PLACE_QC065006,QC,St. Henri de Mascouche,St. Henri de Mascouche,1861;1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_NT193002,PLACE_NT203081,NT,Qu'Appelle,Qu’Appelle,1881,1901,high,bridge_name_match
PLACE_NT199002,PLACE_NT203081,NT,Qu'Appelle,Qu’Appelle,1891,1901,high,bridge_name_match
PLACE_NT193004,PLACE_NT201003,NT,Prince Albert,Prince Albert,1881,1891,high,bridge_name_match
PLACE_NT193005,PLACE_NT201001,NT,Battleford,Battleford,1881,1891,high,bridge_name_match
PLACE_NT193006,PLACE_NT198002,NT,Edmonton,Edmonton,1881,1891,high,bridge_name_match
PLACE_BC190004,PLACE_BC005011,BC,Osoyoos,Osoyoos,1881,1891,high,bridge_name_match
PLACE_MB010002,PLACE_MB156010,MB,"Emerson, Town—Ville","Emerson, T-V",1881;1891;1901,1921,medium,bridge_name_match
PLACE_MB186008,PLACE_MB009012,MB,Dufferin S,Dufferin S,1881,1891,high,bridge_name_match
PLACE_MB008010,PLACE_MB156012,MB,"Morris, Town—Ville","Morris, T-V",1881;1891,1921,medium,bridge_name_match
PLACE_MB010008,PLACE_MB156012,MB,"Morris, Town—Ville","Morris, T-V",1901,1921,medium,bridge_name_match
PLACE_MB008009,PLACE_MB156004,MB,Morris,Morris,1881;1891,1921,medium,bridge_name_match
PLACE_MB010007,PLACE_MB156004,MB,Morris,Morris,1901,1921,medium,bridge_name_match
PLACE_MB186007,PLACE_MB009011,MB,Dufferin N,Dufferin N,1881,1891,high,bridge_name_match
PLACE_MB183004,PLACE_MB010010,MB,St. Boniface,St. Boniface,1881,1901,high,bridge_name_match
PLACE_MB008012_1891,PLACE_MB010010,MB,St. Boniface,St. Boniface,1891,1901,high,bridge_name_match
PLACE_MB010011,PLACE_MB160012,MB,"St. Boniface, Town—Ville","St. Boniface, C",1891;1901,1921,medium,bridge_name_match
PLACE_MB186010,PLACE_MB011015,MB,St. François-Xavier,St. François-Xavier,1881,1901,medium,bridge_name_match
PLACE_MB183005,PLACE_MB011012,MB,Springfield,Springfield,1881,1901,high,bridge_name_match
PLACE_MB006011_1891,PLACE_MB011012,MB,Springfield,Springfield,1891,1901,high,bridge_name_match
PLACE_MB006001,PLACE_MB011001,MB,Assiniboia,Assiniboia,1881;1891,1901,high,bridge_name_match
PLACE_MB183002,PLACE_MB022002,MB,Kildonan,Kildonan,1881,1911,medium,bridge_name_match
PLACE_MB006006_1891,PLACE_MB022002,MB,Kildonan,Kildonan,1891,1911,medium,bridge_name_match
PLACE_MB006016,PLACE_MB011006,MB,St. Paul,St. Paul,1881;1891,1901,high,bridge_name_match
PLACE_MB185003,PLACE_MB022003,MB,St. Andrews,St. Andrews,1881,1911,high,bridge_name_match
PLACE_MB006012_1891,PLACE_MB022003,MB,St. Andrews,St. Andrews,1891,1911,high,bridge_name_match
PLACE_MB011013,PLACE_MB022003,MB,St. Andrews,St. Andrews,1901,1911,high,bridge_name_match
PLACE_MB186012,PLACE_MB163009,MB,Woodlands,Woodlands,1881,1921,medium,bridge_name_match
PLACE_MB011017,PLACE_MB163009,MB,Woodlands,Woodlands,1891;1901,1921,medium,bridge_name_match
PLACE_MB008004,PLACE_MB164009,MB,"Gladstone, Town—Ville","Gladstone, T-V",1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_MB011009,PLACE_MB163003,MB,Rockwood,Rockwood,1881;1891;1901,1921,medium,bridge_name_match
PLACE_MB186002,PLACE_MB008014,MB,Westbourne,Westbourne,1881,1901,high,bridge_name_match
PLACE_MB007031,PLACE_MB008014,MB,Westbourne,Westbourne,1891,1901,high,bridge_name_match
PLACE_ON054014,PLACE_ON127009,ON,Carnarvon,Carnarvon,1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_ON046044,PLACE_ON127001_1911,ON,Allan,Allan,1881;1891,1911;1921,medium,bridge_name_match
PLACE_ON182017,PLACE_ON102048,ON,Lefroy,Lefroy,1881,1901;1911;1921,medium,bridge_name_match
PLACE_ON159004,PLACE_ON057002,ON,Brantford W-O,Brantford W-O,1881,1891;1901;1911,high,bridge_name_match
PLACE_ON176012,PLACE_ON104025,ON,"Lucknow, Village","Lucknow, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON155006,PLACE_ON106009,ON,"Shelburne, Village","Shelburne, Village",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON152001,PLACE_ON106007,ON,"Orangeville, Town—Ville","Orangeville, Town—Ville",1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON090007,PLACE_ON109013,ON,"Springfield, Village","Springfield, VL",1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_ON122016,PLACE_ON118020,ON,Tudor,Tudor,1881,1911;1921,medium,bridge_name_match
PLACE_ON122010_1881,PLACE_ON118001,ON,Bangor,Bangor,1881,1911;1921,medium,bridge_name_match
PLACE_ON179016,PLACE_ON122019,ON,"Point Edward, Village","Point Edward, Village",1881,1891;1901;1911;1921,high,bridge_name_match
