cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
"CD_ON_York,_East—Est",CD_ON_Toronto_N,OVERLAPS,0.007,0.0071,0.5524,4423309.83
"CD_ON_York,_East—Est",CD_ON_Toronto_E,OVERLAPS,0.0145,0.0145,0.8236,9063351.92
"CD_ON_York,_East—Est",CD_ON_York_S,OVERLAPS,0.153,0.1923,0.4281,120064682.26
"CD_ON_York,_East—Est",CD_ON_York_Centre,OVERLAPS,0.463,0.7861,0.5297,490833738.44
"CD_ON_York,_North—Nord",CD_ON_York_N,OVERLAPS,0.7213,0.8497,0.8268,1307950056.72
"CD_ON_York,_North—Nord",CD_ON_Simcoe_S,OVERLAPS,0.0795,0.1503,0.1445,231307937.58
"CD_ON_York,_West—Ouest",CD_ON_Toronto_W-O,OVERLAPS,0.0153,0.0154,0.764,9324961.25
"CD_ON_York,_West—Ouest",CD_ON_Toronto_N,OVERLAPS,0.0004,0.0004,0.0311,249126.29
"CD_ON_York,_West—Ouest",CD_ON_York_S,OVERLAPS,0.2209,0.2647,0.5719,160367195.23
"CD_ON_York,_West—Ouest",CD_ON_York_Centre,OVERLAPS,0.3974,0.7195,0.4703,435832174.38
"CD_PE_Prince,_East-Est",CD_PE_Queens,OVERLAPS,0.0873,0.2507,0.1181,252645342.78
"CD_PE_Prince,_East-Est",CD_PE_Prince,OVERLAPS,0.3178,0.7493,0.3556,755232355.15
"CD_PE_Queens,_East-Est",CD_PE_Queens,OVERLAPS,0.495,0.8047,0.5627,1203959859.34
"CD_PE_Queens,_East-Est",CD_PE_Kings,OVERLAPS,0.0986,0.1953,0.1659,292254448.18
CD_QC_Bagot,CD_QC_Shefford,OVERLAPS,0.009,0.0247,0.0139,21092767.8
CD_QC_Bagot,CD_QC_Bagot,OVERLAPS,0.7925,0.9141,0.8563,781413065.5
CD_QC_Bagot,CD_QC_Richelieu,OVERLAPS,0.0401,0.0612,0.104,52336587.66
CD_QC_Bellechasse,CD_QC_Dorchester,OVERLAPS,0.001,0.0024,0.0017,4107886.22
CD_QC_Bellechasse,CD_QC_Montmagny,OVERLAPS,0.0032,0.0064,0.0063,10901792.41
CD_QC_Berthier,CD_QC_Joliette,OVERLAPS,0.0002,0.0006,0.0004,3173053.0
CD_QC_Berthier,CD_QC_Maskinongé,OVERLAPS,0.0012,0.002,0.0028,11128967.24
CD_QC_Brome,CD_QC_Shefford,OVERLAPS,0.0038,0.0082,0.0071,10848749.51
CD_QC_Champlain,CD_QC_Trois-Rivières_&_St._Maurice,OVERLAPS,0.2178,0.2734,0.5171,7609020378.68
CD_QC_Champlain,CD_QC_Champlain,OVERLAPS,0.6571,0.7266,0.873,20220525086.77
CD_QC_Chateauguay,CD_QC_Laprairie_&_Napierville,OVERLAPS,0.0339,0.0704,0.0612,52502588.78
CD_QC_Compton,CD_QC_Stanstead,OVERLAPS,0.0274,0.0358,0.1048,136734179.0
CD_QC_Compton,CD_QC_Richmond_&_Wolfe,OVERLAPS,0.0043,0.0081,0.0092,30891028.85
CD_QC_Compton,CD_QC_Beauce,OVERLAPS,0.0,0.0,0.0,4918.01
CD_QC_Dorchester,CD_QC_Bellechasse,OVERLAPS,0.0104,0.0176,0.0249,43959303.22
CD_QC_Drummond_&_Arthabaska,CD_QC_Bagot,OVERLAPS,0.0039,0.0049,0.0192,17536295.59
CD_QC_Drummond_&_Arthabaska,CD_QC_Yamaska,OVERLAPS,0.0466,0.0559,0.219,201947602.17
CD_QC_Drummond_&_Arthabaska,CD_QC_Nicolet,OVERLAPS,0.0247,0.0353,0.0758,127658204.22
CD_QC_Drummond_&_Arthabaska,CD_QC_Mégantic,OVERLAPS,0.0084,0.0132,0.0228,47636849.06
CD_QC_Labelle,CD_QC_Terrebonne,OVERLAPS,0.0019,0.0023,0.0089,18746499.51
CD_QC_Laprairie_&_Napierville,CD_QC_St._Jean_&_Iberville,OVERLAPS,0.0064,0.0141,0.0114,11512656.31
CD_QC_Laval,CD_QC_Deux-Montagnes,OVERLAPS,0.0055,0.0156,0.0084,6169658.74
CD_QC_Laval,CD_QC_Maisonneuve,OVERLAPS,0.0108,0.0116,0.1385,4573950.71
CD_QC_L’Assomption,CD_QC_Berthier,OVERLAPS,0.0111,0.0943,0.0124,69940959.97
CD_QC_Maskinongé,CD_QC_Trois-Rivières_&_St._Maurice,OVERLAPS,0.1208,0.3115,0.1649,2425605448.44
