from,to,iou
ON077005_1861,ON038001_1871,1.0
ON077007_1861,ON038002_1871,1.0
ON077003_1861,ON038004_1871,1.0
ON077006_1861,ON038003_1871,1.0
ON077002_1861,ON038007_1871,1.0
ON078004_1861,ON061003_1871,1.0
ON078014_1861,ON061002_1871,1.0
ON078005_1861,ON062003_1871,0.9878
ON078012_1861,ON060002_1871,1.0
ON078009_1861,ON062002_1871,1.0
ON079007_1861,ON026010_1871,1.0
ON079009_1861,ON026012_1871,1.0
ON079013_1861,ON026007_1871,1.0
ON079008_1861,ON025002_1871,1.0
ON079012_1861,ON026008_1871,0.9945
ON079015_1861,ON025001_1871,1.0
ON079016_1861,ON025005_1871,0.9919
ON079018_1861,ON025003_1871,1.0
ON079001_1861,ON026002_1871,1.0
ON079005_1861,ON025006_1871,1.0
ON079010_1861,ON026005_1871,1.0
ON072013_1861,ON065002_1871,1.0
ON081001_1861,ON004010_1871,1.0
ON081002_1861,ON004005_1871,1.0
ON081004_1861,ON004002_1871,0.9864
ON081011_1861,ON004009_1871,1.0
ON081006_1861,ON004001_1871,1.0
ON081007_1861,ON004008_1871,1.0
ON081008_1861,ON004006_1871,1.0
ON081009_1861,ON004007_1871,1.0
ON082005_1861,ON080006_1871,1.0
ON082008_1861,ON080004_1871,0.9905
ON082011_1861,ON080003_1871,1.0
ON082001_1861,ON079006_1871,1.0
ON082002_1861,ON079009_1871,0.9809
ON082006_1861,ON079007_1871,1.0
ON082010_1861,ON079001_1871,1.0
ON084001_1861,ON063001_1871,1.0
ON084002_1861,ON063006_1871,1.0
ON084006_1861,ON063007_1871,0.9911
ON084010_1861,ON063004_1871,1.0
ON084011_1861,ON064003_1871,1.0
ON084009_1861,ON063005_1871,1.0
ON085001_1861,ON018004_1871,1.0
ON085002_1861,ON021005_1871,1.0
ON085003_1861,ON018005_1871,1.0
ON085005_1861,ON021006_1871,1.0
ON085006_1861,ON021004_1871,1.0
ON085009_1861,ON021002_1871,1.0
ON086014_1861,ON009001_1871,1.0
ON086001_1861,ON008001_1871,1.0
ON086006_1861,ON008004_1871,1.0
ON086002_1861,ON007005_1871,1.0
ON086003_1861,ON007007_1871,1.0
ON086005_1861,ON007003_1871,1.0
ON086008_1861,ON007004_1871,1.0
ON086009_1861,ON007001_1871,0.988
ON086011_1861,ON007006_1871,1.0
ON087001_1861,ON011003_1871,1.0
ON087002_1861,ON011001_1871,1.0
ON087003_1861,ON012001_1871,1.0
ON087005_1861,ON012003_1871,1.0
ON087006_1861,ON011002_1871,1.0
ON087007_1861,ON012002_1871,1.0
ON088006_1861,ON055001_1871,1.0
ON088010_1861,ON055005_1871,1.0
ON088011_1861,ON055006_1871,1.0
ON088012_1861,ON055007_1871,1.0
ON088005_1861,ON055002_1871,1.0
ON088001_1861,ON054004_1871,1.0
ON088007_1861,ON054003_1871,1.0
ON088008_1861,ON054001_1871,1.0
ON089001_1861,ON049005_1871,1.0
ON089002_1861,ON049007_1871,1.0
ON089005_1861,ON049008_1871,1.0
ON089007_1861,ON049004_1871,1.0
ON089010_1861,ON049001_1871,1.0
ON089004_1861,ON048001_1871,1.0
ON089006_1861,ON049002_1871,1.0
ON090001_1861,ON014006_1871,1.0
ON090002_1861,ON014007_1871,1.0
ON090004_1861,ON014003_1871,1.0
ON090003_1861,ON013001_1871,1.0
ON091001_1861,ON040002_1871,1.0
ON091003_1861,ON040001_1871,1.0
ON091004_1861,ON039004_1871,1.0
ON091007_1861,ON039003_1871,1.0
ON091005_1861,ON039002_1871,1.0
ON092005_1861,ON030002_1871,1.0
ON092006_1861,ON030005_1871,0.9912
ON092011_1861,ON030006_1871,1.0
ON092014_1861,ON030007_1871,1.0
ON092002_1861,ON029006_1871,1.0
ON092008_1861,ON029003_1871,1.0
ON092009_1861,ON030001_1871,1.0
ON092010_1861,ON029005_1871,1.0
ON093002_1861,ON057004_1871,1.0
ON093003_1861,ON057006_1871,1.0
ON093004_1861,ON057003_1871,1.0
ON093011_1861,ON057001_1871,1.0
ON093008_1861,ON058001_1871,1.0
ON093013_1861,ON056004_1871,1.0
ON094001_1861,ON075006_1871,1.0
ON094002_1861,ON075005_1871,1.0
ON094003_1861,ON075001_1871,1.0
ON094004_1861,ON075002_1871,1.0
ON094006_1861,ON075004_1871,1.0
ON094007_1861,ON075007_1871,1.0
ON094008_1861,ON075008_1871,1.0
ON094005_1861,ON075003_1871,1.0
ON095001_1861,ON059003_1871,1.0
ON095002_1861,ON059007_1871,1.0
ON095003_1861,ON059004_1871,1.0
ON095004_1861,ON059001_1871,0.984
ON095007_1861,ON059006_1871,1.0
ON095006_1861,ON059005_1871,1.0
ON096003_1861,ON082008_1871,1.0
ON096007_1861,ON082002_1871,1.0
ON096017_1861,ON082001_1871,1.0
ON096019_1861,ON082006_1871,1.0
ON096020_1861,ON082003_1871,1.0
ON096021_1861,ON082007_1871,1.0
ON096013_1861,ON082005_1871,1.0
ON096001_1861,ON081010_1871,1.0
ON096009_1861,ON081011_1871,1.0
ON096010_1861,ON081008_1871,1.0
ON096015_1861,ON081009_1871,1.0
ON097001_1861,ON076002_1871,1.0
ON097002_1861,ON076001_1871,1.0
