:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
PLACE_ON065006_1851,PLACE_ON114004,CENSUS_1871,16336.13,P122_borders_with
PLACE_ON094001,PLACE_ON151007,CENSUS_1871,496.72,P122_borders_with
PLACE_ON094001,PLACE_ON115008,CENSUS_1871,3506.99,P122_borders_with
PLACE_ON094001,PLACE_ON144001,CENSUS_1871,11941.97,P122_borders_with
PLACE_ON070002,PLACE_ON146001,CENSUS_1871,1567.68,P122_borders_with
PLACE_ON070002,PLACE_ON115007,CENSUS_1871,12757.83,P122_borders_with
PLACE_ON070002,PLACE_ON146003,CENSUS_1871,13653.2,P122_borders_with
PLACE_ON070002,PLACE_ON075006,CENSUS_1871,9390.3,P122_borders_with
PLACE_ON070002,PLACE_ON094001,CENSUS_1871,8993.16,P122_borders_with
PLACE_ON070002,PLACE_ON115008,CENSUS_1871,15029.97,P122_borders_with
PLACE_ON017009,PLACE_ON146003,CENSUS_1871,7473.84,P122_borders_with
PLACE_ON017009,PLACE_ON018001,CENSUS_1871,10006.93,P122_borders_with
PLACE_ON017009,PLACE_ON094001,CENSUS_1871,7314.37,P122_borders_with
PLACE_ON018001,PLACE_ON067007,CENSUS_1871,5999.88,P122_borders_with
PLACE_ON018001,PLACE_ON094001,CENSUS_1871,10818.5,P122_borders_with
