wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q1661004,Portage la Prairie,PLACE_MB186005,CSD,Portage,MB,1881,1881,1,4
Q1661004,Portage la Prairie,PLACE_MB007022,CSD,Portage la Prairie,MB,1891,1891,1,4
Q1661004,Portage la Prairie,PLACE_MB008011,CSD,Portage la Prairie,MB,1901,1901,1,4
Q1661004,Portage la Prairie,PLACE_MB160007,CSD,Portage la Prairie,MB,1921,1921,1,4
Q1661040,Ritchot,PLACE_MB010009_1901,CSD,Ritchot,MB,1901,1901,1,2
Q1661040,Ritchot,PLACE_MB160008_1921,CSD,Ritchot,MB,1921,1921,1,2
Q1661133,Roland,PLACE_MB018015,CSD,Roland vl (T4 R4 MW1),MB,1911,1911,1,2
Q1661133,Roland,PLACE_MB156006,CSD,Roland,MB,1921,1921,1,2
Q1661149,Rosedale,PLACE_MB008013,CSD,Rosedale,MB,1891,1901,2,2
Q1661149,Rosedale,PLACE_MB164006_1921,CSD,Rosedale,MB,1921,1921,1,2
Q1661166,Rossburn,PLACE_MB007027,CSD,Rossburn,MB,1891,1891,1,3
Q1661166,Rossburn,PLACE_MB009021_1901,CSD,Rossburn,MB,1901,1901,1,3
Q1661166,Rossburn,PLACE_MB168005,CSD,Rossburn,MB,1921,1921,1,3
Q1661244,Rosser,PLACE_MB011010_1901,CSD,Rosser,MB,1901,1901,1,2
Q1661244,Rosser,PLACE_MB163004_1921,CSD,Rosser,MB,1921,1921,1,2
Q1661391,Springfield,PLACE_MB011012,CSD,Springfield,MB,1881,1901,3,2
Q1661391,Springfield,PLACE_MB159007_1921,CSD,Springfield,MB,1921,1921,1,2
Q1661409,St. Andrews,PLACE_MB022003,CSD,St. Andrews,MB,1881,1911,4,2
Q1661409,St. Andrews,PLACE_MB163005_1921,CSD,St. Andrews,MB,1921,1921,1,2
Q1661430,St. Clements,PLACE_MB185002,CSD,St. Clément,MB,1881,1881,1,3
Q1661430,St. Clements,PLACE_MB022004,CSD,St. Clements,MB,1891,1911,3,3
Q1661430,St. Clements,PLACE_MB159005_1921,CSD,St. Clements,MB,1921,1921,1,3
Q1661880,Westbourne,PLACE_MB008014,CSD,Westbourne,MB,1881,1901,3,2
Q1661880,Westbourne,PLACE_MB164007_1921,CSD,Westbourne,MB,1921,1921,1,2
Q1661973,Whitewater,PLACE_MB009029,CSD,Whitewater,MB,1891,1891,1,3
Q1661973,Whitewater,PLACE_MB006017,CSD,Whitewater,MB,1901,1901,1,3
Q1661973,Whitewater,PLACE_MB158007,CSD,Whitewater,MB,1921,1921,1,3
Q1670967,Kings County,CD_NB_King's,CD,King's,NB,1871,1901,4,4
Q1670967,Kings County,CD_NB_King's_1891,CD,King's,NB,1891,1891,1,4
